Id,Year
135453,1900
230613,1900
135571,1900
285265,1900
310118,1900
304,1900
131934,1901
359,1901
132534,1901
312017,1901
202815,1901
399,1902
223509,1903
223622,1903
437,1903
447,1903
222874,1903
455,1903
465,1903
189363,1903
420,1903
135180,1903
439,1903
469,1903
215992,1904
178812,1904
499,1904
135179,1905
524,1905
498,1905
567,1906
546,1906
554,1906
534,1906
574,1906
614,1907
140772,1907
335384,1907
246507,1907
1548598,1908
288252,1908
682,1908
516,1908
228696,1909
127948,1909
1062,1909
256939,1909
942,1909
833,1909
1032,1909
832,1909
1223,1910
1463,1910
1431,1910
1265,1910
1105,1910
1737,1911
2130,1911
1660,1911
2113,1912
2054,1912
1527,1912
488,1912
2381,1912
2101,1912
2415,1912
2844,1913
3489,1913
3419,1913
3037,1913
3014,1913
3471,1913
3165,1913
4181,1914
3930,1914
4066,1914
4277,1914
3952,1914
3740,1914
4194,1914
4282,1914
4210,1914
3643,1914
4101,1914
4008,1914
4100,1914
4150,1914
3772,1914
5916,1915
5198,1915
5557,1915
5339,1915
4873,1915
4134,1915
4972,1915
5810,1915
5074,1915
5542,1915
4712,1915
5571,1915
5059,1915
5044,1915
4936,1915
5622,1915
5060,1915
5084,1915
5149,1915
5812,1915
5078,1915
6668,1916
6809,1916
6780,1916
6689,1916
6517,1916
6731,1916
7108,1916
6684,1916
6753,1916
7145,1916
6589,1916
6548,1916
6864,1916
7162,1916
4413,1916
6414,1916
7047,1916
6886,1916
6895,1916
6333,1916
8329,1917
7880,1917
8663,1917
8443,1917
7832,1917
8133,1917
8523,1917
8634,1917
7613,1917
7819,1917
8550,1917
8879,1918
9652,1918
8827,1918
8874,1918
8891,1918
9018,1918
8395,1918
9440,1918
9369,1918
7476,1918
9611,1918
8950,1918
10307,1919
10060,1919
10040,1919
9968,1919
9976,1919
9878,1919
9893,1919
9932,1919
10267,1919
9899,1919
10247,1919
10195,1919
9937,1919
10418,1919
10057,1919
10208,1919
10146,1919
11370,1920
10155,1920
11000,1920
11362,1920
10323,1920
11130,1920
11293,1920
11565,1920
11652,1920
11541,1920
11358,1920
11071,1920
11237,1920
11157,1920
11401,1920
11387,1920
11439,1920
11508,1920
11656,1920
11521,1920
12364,1921
12408,1921
12349,1921
12255,1921
12190,1921
12253,1921
12512,1921
11960,1921
12278,1921
12224,1921
11979,1921
11904,1921
12304,1921
11909,1921
12027,1921
12494,1921
12499,1921
12570,1921
12136,1921
12465,1921
11984,1921
12486,1921
11908,1921
12281,1921
12532,1921
12543,1922
13140,1922
13597,1922
13442,1922
13025,1922
13086,1922
12938,1922
13422,1922
13427,1922
12945,1922
12952,1922
13556,1922
13158,1922
13201,1922
13257,1922
13099,1922
13662,1922
13496,1922
13055,1922
13075,1922
13992,1923
13823,1923
13858,1923
13571,1923
14417,1923
14446,1923
14358,1923
14218,1923
14429,1923
14497,1923
13386,1923
14142,1923
14440,1923
13579,1923
14029,1923
13626,1923
14341,1923
15136,1924
14900,1924
15119,1924
15175,1924
14672,1924
14109,1924
14702,1924
14945,1924
15324,1924
15174,1924
15167,1924
15310,1924
15016,1924
15268,1924
15202,1924
14646,1924
15163,1924
15002,1924
15039,1924
15384,1924
14586,1924
14872,1924
15014,1924
14972,1924
15064,1924
15693,1925
15977,1925
16310,1925
16258,1925
15842,1925
16332,1925
16123,1925
15873,1925
15361,1925
15758,1925
16039,1925
15864,1925
16201,1925
16022,1925
16104,1925
16220,1925
15841,1925
15684,1925
15768,1925
15863,1925
16230,1925
15624,1925
16013,1925
15634,1925
16276,1925
15687,1925
16232,1925
15648,1925
16004,1925
